id(随机的10位字符串，不能重复), name(中文，可以重复2-4位, sex（随机男、女), age(随机0-100，随机排列), desc(随机20个字符), bizDate(以当前时间与age日期对应), nation（民族), phone(随机 符合电话要求), email(符合常用的电子邮件@qq)，hobbies(爱好，| 隔开)
zrgs8c4seb, 危麥怜, 男, 88, 1r5iansqd3n2xqkkl0kg, 19330215, 羌族, 16565523151, 7532354901@qq.com, 摄影|看书
y3d4pk0erg, 贲侷宁, 男, 97, b35s5zijdku6w2dvxpyf, 19230624, 回族, 11267830142, 2300589559@qq.com, 摄影|绘画|烹饪
r18ep9qg6u, 蓬鏩但, 男, 33, 0tqlwxndmysfsl0r5vv9, 19871215, 赫哲族, 15743035665, 8755559840@qq.com, 看书|麻将|旅游
24dxv3nlek, 曾鋸, 女, 25, sbs1i6ut5d4rmn29zbdq, 19950712, 回族, 10090643130, 8133691164@qq.com, 摄影|电影|绘画
xgp5a0zzir, 乐足咟, 男, 67, pal3f1uods1mznfkewlu, 19540212, 塔吉克族, 19800640023, 8158652627@qq.com, 电影|看书|烘焙
z7tka3oqm0, 隆鼌, 女, 72, y46g8p13yiib1x6vj2eu, 19481211, 鄂伦春族, 11183096245, 8078384589@qq.com, 唱歌|旅游
mqw9f0qjkz, 宦懩抚, 男, 29, 9anqjywljfn16888dsof, 19911103, 高山族, 11218442535, 9599097938@qq.com, 摄影|看书|绘画
9d7pcddazk, 姚祁, 女, 28, 5d0p91q4251x44lav1vv, 19930426, 哈萨克族, 10541471517, 9478505323@qq.com, 看书|绘画|烹饪
oecxe289mr, 束狯買, 女, 26, eun6apw3wftps9y1e8l5, 19950409, 壮族, 14628367220, 0096229698@qq.com, 电影|绘画|烹饪
yorkf0qhcq, 爱齉, 女, 73, qkuffw5sgdd7zuznc8i1, 19480206, 瑶族, 18799764975, 9891316435@qq.com, 摄影|唱歌
80a8r3gkk2, 邬鄟术, 女, 96, gcsyuna4iytqzwoqreja, 19250221, 维吾尔族, 18695267116, 3119703587@qq.com, 看书|麻将
xc1387bos5, 闽贆, 男, 74, 32e9w5s5km6uwuj1a3lq, 19460713, 朝鲜族, 15988059210, 4800150341@qq.com, 摄影|看书
o52m61x2fq, 晁膞, 女, 38, lpy7t1cqljhjj6fty53e, 19830103, 朝鲜族, 10744528603, 0449849408@qq.com, 摄影|看书
6c60rdwma2, 冯芁, 男, 15, a3047vktm51kmcj5iaem, 20051123, 白族, 10651326217, 8427200709@qq.com, 摄影|看书|绘画
6mn1i2lilr, 赏糞窖, 男, 93, 75ywarqh3ayczmm89c0c, 19270911, 门巴族, 16480380464, 8167039664@qq.com, 唱歌|麻将
jsoubl9yjp, 吴萛, 男, 90, cqani5ngluu850ppzvok, 19300709, 东乡族, 18549794450, 0472107077@qq.com, 摄影|看书|麻将
gnski1jskq, 郎匝, 男, 55, 4b9ykit0agexj8eg9k2g, 19660315, 京族, 10146046711, 3376630480@qq.com, 看书|旅游|烘焙
hbulcc9ofx, 尤紷, 女, 81, 6pmjxp2fak7iof9o6yh1, 19390912, 佤族, 18889927431, 1046953240@qq.com, 唱歌|看书|麻将
53n7qhvt7w, 向犈槚, 女, 40, po5gecxxyeqxjxe0cqok, 19801022, 布依族, 10637788081, 3476117573@qq.com, 电影|麻将|烹饪
ci63xr3rwl, 郜憖癔, 女, 22, hd5kooj1r05a28971970, 19980520, 壮族, 16704873312, 2563958685@qq.com, 看书|麻将
luyg6wzxgz, 慕庛竅, 男, 18, yulq1p474kkrzrz0w3r9, 20020706, 柯尔克孜族, 11041692877, 4422504114@qq.com, 唱歌|电影|烹饪
kckgv2lxih, 雷坮, 女, 74, a9z412i3ij33pai9oom7, 19460830, 回族, 10558765630, 0821720709@qq.com, 唱歌|看书|旅游
906an14qk3, 闻畒, 女, 13, 7073w9wjmtl1m0zmzw9m, 20080315, 壮族, 11100556739, 9027900853@qq.com, 摄影|麻将|旅游
1nzj40tv6m, 匡狥, 男, 49, tvg87d4f55nn4ubego45, 19710528, 锡伯族, 13949930869, 3358254581@qq.com, 电影|旅游
